iter,train_acc,test_acc,loss
8900,0.77246,0.74790,0.48837
8950,0.77092,0.74760,0.56847
9000,0.77166,0.75070,0.73423
9050,0.77104,0.74930,0.57928
9100,0.77128,0.74280,0.83081
9150,0.77008,0.74920,0.61348
9200,0.77120,0.74830,0.67259
9250,0.77230,0.75010,0.64232
9300,0.77142,0.74810,0.55565
9350,0.77070,0.74810,0.63610
9400,0.77400,0.75310,0.77227
9450,0.77108,0.74820,0.88341
9500,0.77274,0.74770,0.68573
9550,0.77162,0.74810,0.73879
9600,0.77302,0.74600,0.85824
9650,0.77350,0.74790,0.74553
9700,0.77242,0.74940,0.76367
9750,0.77134,0.74870,0.60178
9800,0.77258,0.74840,0.69185
9850,0.77404,0.74950,0.50311
9900,0.77470,0.75060,0.63349
9950,0.77392,0.75370,0.53737
